,open,high,low,close,adjclose,volume,ticker
2017-02-01,39.56769943237305,40.293399810791016,39.437599182128906,39.88819885253906,39.88819885253906,635382.0,ZEC-USD
2017-02-02,39.91210174560547,40.03580093383789,38.63859939575195,39.239498138427734,39.239498138427734,678128.0,ZEC-USD
2017-02-03,39.24810028076172,39.31399917602539,38.008201599121094,39.016700744628906,39.016700744628906,843232.0,ZEC-USD
2017-02-04,39.03670120239258,39.545799255371094,38.516998291015625,39.34469985961914,39.34469985961914,635301.0,ZEC-USD
2017-02-05,39.368900299072266,39.4463996887207,38.12179946899414,38.162498474121094,38.162498474121094,615852.0,ZEC-USD
2017-02-06,38.18159866333008,38.26190185546875,37.58399963378906,37.58940124511719,37.58940124511719,639128.0,ZEC-USD
2017-02-07,37.6255989074707,37.77949905395508,35.456600189208984,36.42380142211914,36.42380142211914,966072.0,ZEC-USD
2017-02-08,36.453399658203125,36.749698638916016,34.57640075683594,35.300899505615234,35.300899505615234,951820.0,ZEC-USD
2017-02-09,35.32320022583008,36.1255989074707,32.25299835205078,33.34080123901367,33.34080123901367,1148210.0,ZEC-USD
2017-02-10,33.352699279785156,33.4385986328125,31.93239974975586,32.69770050048828,32.69770050048828,602423.0,ZEC-USD
2017-02-11,32.71200180053711,33.667999267578125,32.152000427246094,32.75790023803711,32.75790023803711,521365.0,ZEC-USD
2017-02-12,32.703800201416016,32.979698181152344,31.610300064086914,31.610300064086914,31.610300064086914,515968.0,ZEC-USD
2017-02-13,31.515300750732422,31.823699951171875,30.10140037536621,30.379600524902344,30.379600524902344,771020.0,ZEC-USD
2017-02-14,30.398099899291992,32.602298736572266,30.19700050354004,32.37160110473633,32.37160110473633,750407.0,ZEC-USD
2017-02-15,32.303199768066406,34.170501708984375,31.15410041809082,33.54859924316406,33.54859924316406,852288.0,ZEC-USD
2017-02-16,33.562801361083984,34.219600677490234,32.52280044555664,32.5630989074707,32.5630989074707,679495.0,ZEC-USD
2017-02-17,32.54130172729492,32.785400390625,31.735000610351562,32.00550079345703,32.00550079345703,495639.0,ZEC-USD
2017-02-18,32.096500396728516,32.30440139770508,30.773300170898438,30.840299606323242,30.840299606323242,638843.0,ZEC-USD
2017-02-19,30.790800094604492,31.280099868774414,30.4783992767334,30.578399658203125,30.578399658203125,515481.0,ZEC-USD
2017-02-20,30.599000930786133,31.187599182128906,30.36389923095703,30.868499755859375,30.868499755859375,556168.0,ZEC-USD
2017-02-21,30.888700485229492,30.888700485229492,29.59510040283203,29.90250015258789,29.90250015258789,685559.0,ZEC-USD
2017-02-22,29.932899475097656,30.0757999420166,26.930299758911133,27.156700134277344,27.156700134277344,1044580.0,ZEC-USD
2017-02-23,27.184200286865234,32.62099838256836,26.153200149536133,29.984500885009766,29.984500885009766,1441340.0,ZEC-USD
2017-02-24,30.1112003326416,31.805299758911133,28.466100692749023,30.227800369262695,30.227800369262695,1180920.0,ZEC-USD
2017-02-25,30.119699478149414,30.711299896240234,28.580699920654297,29.1471004486084,29.1471004486084,508970.0,ZEC-USD
2017-02-26,29.138099670410156,29.95599937438965,28.47719955444336,29.451400756835938,29.451400756835938,505969.0,ZEC-USD
2017-02-27,29.36989974975586,37.9556999206543,29.35740089416504,35.939998626708984,35.939998626708984,2214690.0,ZEC-USD
2017-02-28,36.41559982299805,38.399898529052734,34.40879821777344,37.30500030517578,37.30500030517578,2551690.0,ZEC-USD
2017-03-01,37.27949905395508,41.44710159301758,37.18830108642578,41.40909957885742,41.40909957885742,2376490.0,ZEC-USD
2017-03-02,41.57749938964844,42.2958984375,39.29650115966797,39.667701721191406,39.667701721191406,2385790.0,ZEC-USD
2017-03-03,39.709598541259766,42.00170135498047,37.729000091552734,41.80099868774414,41.80099868774414,2223230.0,ZEC-USD
2017-03-04,41.855098724365234,43.62730026245117,39.92499923706055,41.64250183105469,41.64250183105469,1619630.0,ZEC-USD
2017-03-05,41.6713981628418,41.74169921875,39.11240005493164,39.43730163574219,39.43730163574219,802597.0,ZEC-USD
2017-03-06,39.43629837036133,40.325599670410156,37.83190155029297,40.31549835205078,40.31549835205078,1250700.0,ZEC-USD
2017-03-07,40.12820053100586,40.644798278808594,38.02180099487305,38.02519989013672,38.02519989013672,1051440.0,ZEC-USD
2017-03-08,38.027400970458984,38.17129898071289,35.5619010925293,35.74449920654297,35.74449920654297,1056640.0,ZEC-USD
2017-03-09,35.75320053100586,37.40879821777344,35.32460021972656,36.71910095214844,36.71910095214844,891767.0,ZEC-USD
2017-03-10,36.70119857788086,38.292198181152344,33.659698486328125,35.34709930419922,35.34709930419922,1938790.0,ZEC-USD
2017-03-11,35.29759979248047,40.01350021362305,35.29759979248047,39.7150993347168,39.7150993347168,1681810.0,ZEC-USD
2017-03-12,39.877498626708984,40.95970153808594,38.04999923706055,40.15510177612305,40.15510177612305,1838160.0,ZEC-USD
2017-03-13,40.174198150634766,48.38240051269531,40.174198150634766,47.662498474121094,47.662498474121094,5846470.0,ZEC-USD
2017-03-14,47.745201110839844,47.782100677490234,43.45220184326172,45.1234016418457,45.1234016418457,2372830.0,ZEC-USD
2017-03-15,45.05979919433594,46.25519943237305,43.24340057373047,45.73460006713867,45.73460006713867,2480490.0,ZEC-USD
2017-03-16,45.64799880981445,50.70330047607422,45.64799880981445,48.780799865722656,48.780799865722656,3945410.0,ZEC-USD
2017-03-17,49.12480163574219,53.540199279785156,46.330299377441406,48.26959991455078,48.26959991455078,5088250.0,ZEC-USD
2017-03-18,48.27000045776367,91.08660125732422,47.679100036621094,64.18299865722656,64.18299865722656,27275200.0,ZEC-USD
2017-03-19,63.48139953613281,80.32939910888672,59.48619842529297,69.88610076904297,69.88610076904297,13536800.0,ZEC-USD
2017-03-20,70.06819915771484,79.06490325927734,70.06819915771484,72.46649932861328,72.46649932861328,7465190.0,ZEC-USD
2017-03-21,72.09239959716797,73.62840270996094,65.0896987915039,66.63860321044922,66.63860321044922,6927260.0,ZEC-USD
2017-03-22,66.14550018310547,71.21240234375,64.69329833984375,69.2157974243164,69.2157974243164,4318140.0,ZEC-USD
2017-03-23,69.339599609375,69.66280364990234,65.90979766845703,66.60569763183594,66.60569763183594,2369260.0,ZEC-USD
2017-03-24,66.57260131835938,73.43489837646484,63.649200439453125,64.58540344238281,64.58540344238281,9363870.0,ZEC-USD
2017-03-25,64.77429962158203,66.4822998046875,63.14670181274414,63.39680099487305,63.39680099487305,4535020.0,ZEC-USD
2017-03-26,63.56050109863281,65.66400146484375,59.238800048828125,59.93000030517578,59.93000030517578,3128110.0,ZEC-USD
2017-03-26,60.04180145263672,62.01020050048828,54.18080139160156,54.538700103759766,54.538700103759766,3581290.0,ZEC-USD
2017-03-27,54.666500091552734,73.45880126953125,54.61280059814453,64.69200134277344,64.69200134277344,9419650.0,ZEC-USD
2017-03-28,64.956298828125,67.7083969116211,61.761199951171875,63.36410140991211,63.36410140991211,2921400.0,ZEC-USD
2017-03-29,63.262298583984375,67.47989654541016,61.75270080566406,66.94779968261719,66.94779968261719,4462730.0,ZEC-USD
2017-03-30,66.93399810791016,78.47470092773438,66.93399810791016,70.2593002319336,70.2593002319336,6312930.0,ZEC-USD
2017-03-31,70.1666030883789,73.50879669189453,64.41780090332031,64.5906982421875,64.5906982421875,3451690.0,ZEC-USD
2017-04-01,64.56690216064453,67.62560272216797,61.48109817504883,63.725799560546875,63.725799560546875,4470820.0,ZEC-USD
2017-04-02,64.0416030883789,66.14910125732422,61.72489929199219,63.44580078125,63.44580078125,4457090.0,ZEC-USD
2017-04-03,63.50419998168945,64.00430297851562,60.77320098876953,62.7047004699707,62.7047004699707,5109820.0,ZEC-USD
2017-04-04,62.58919906616211,63.28049850463867,58.05189895629883,59.08259963989258,59.08259963989258,5402150.0,ZEC-USD
2017-04-05,59.1697998046875,59.350101470947266,53.702598571777344,57.903499603271484,57.903499603271484,5816800.0,ZEC-USD
2017-04-06,57.782901763916016,61.35300064086914,55.39229965209961,59.7958984375,59.7958984375,3267540.0,ZEC-USD
2017-04-07,59.52619934082031,65.47850036621094,57.61669921875,63.58420181274414,63.58420181274414,3732900.0,ZEC-USD
2017-04-08,63.527400970458984,78.55729675292969,62.09989929199219,62.547401428222656,62.547401428222656,10584900.0,ZEC-USD
2017-04-09,62.77289962768555,68.89250183105469,62.77289962768555,64.82209777832031,64.82209777832031,4183730.0,ZEC-USD
2017-04-10,64.90979766845703,65.39949798583984,61.51210021972656,61.83290100097656,61.83290100097656,3188750.0,ZEC-USD
2017-04-11,61.89720153808594,63.143001556396484,60.029701232910156,61.99980163574219,61.99980163574219,3425370.0,ZEC-USD
2017-04-12,62.07279968261719,64.82450103759766,61.270599365234375,64.6583023071289,64.6583023071289,4322200.0,ZEC-USD
2017-04-13,64.81089782714844,71.43589782714844,64.54560089111328,71.17120361328125,71.17120361328125,5898520.0,ZEC-USD
2017-04-14,71.90730285644531,77.17870330810547,69.0167007446289,72.86620330810547,72.86620330810547,8228310.0,ZEC-USD
2017-04-15,72.94170379638672,74.37110137939453,70.74520111083984,71.5022964477539,71.5022964477539,3777100.0,ZEC-USD
2017-04-16,71.59220123291016,72.01090240478516,69.52880096435547,70.23539733886719,70.23539733886719,3190330.0,ZEC-USD
2017-04-17,70.25479888916016,72.27459716796875,70.23040008544922,71.78479766845703,71.78479766845703,3733350.0,ZEC-USD
2017-04-18,71.783203125,72.30899810791016,70.13099670410156,70.94120025634766,70.94120025634766,4692510.0,ZEC-USD
2017-04-19,71.0177993774414,71.15280151367188,66.6050033569336,67.31690216064453,67.31690216064453,5595750.0,ZEC-USD
2017-04-20,67.29920196533203,69.7333984375,66.7166976928711,68.14289855957031,68.14289855957031,5144630.0,ZEC-USD
2017-04-21,68.00469970703125,68.8729019165039,67.4989013671875,68.67400360107422,68.67400360107422,4087150.0,ZEC-USD
2017-04-22,68.75379943847656,68.783203125,66.24099731445312,66.33560180664062,66.33560180664062,2664960.0,ZEC-USD
2017-04-23,66.55799865722656,68.81929779052734,66.55799865722656,67.99189758300781,67.99189758300781,4159870.0,ZEC-USD
2017-04-24,67.84819793701172,73.2927017211914,64.75019836425781,69.16580200195312,69.16580200195312,4835280.0,ZEC-USD
2017-04-25,69.14219665527344,75.07479858398438,69.11360168457031,71.99610137939453,71.99610137939453,7519790.0,ZEC-USD
2017-04-26,72.09549713134766,79.94629669189453,69.64749908447266,76.82230377197266,76.82230377197266,9219590.0,ZEC-USD
2017-04-27,76.86319732666016,85.12689971923828,76.57969665527344,83.94779968261719,83.94779968261719,10311300.0,ZEC-USD
2017-04-28,84.07330322265625,97.45480346679688,83.02259826660156,96.08200073242188,96.08200073242188,10732700.0,ZEC-USD
2017-04-29,96.18270111083984,99.06620025634766,89.93350219726562,93.20240020751953,93.20240020751953,11989300.0,ZEC-USD
2017-04-30,93.73040008544922,107.73100280761719,83.62339782714844,90.05069732666016,90.05069732666016,19211300.0,ZEC-USD
2017-05-01,90.44080352783203,95.45349884033203,88.1156005859375,91.9260025024414,91.9260025024414,9723680.0,ZEC-USD
2017-05-02,91.60769653320312,94.21859741210938,87.74839782714844,91.03620147705078,91.03620147705078,8785360.0,ZEC-USD
2017-05-03,91.09320068359375,103.51399993896484,90.92780303955078,99.5438003540039,99.5438003540039,9791100.0,ZEC-USD
2017-05-04,99.51899719238281,113.33599853515625,99.42829895019531,103.64099884033203,103.64099884033203,12122500.0,ZEC-USD
2017-05-05,103.85800170898438,109.38700103759766,100.95800018310547,108.21299743652344,108.21299743652344,7489580.0,ZEC-USD
2017-05-06,107.83499908447266,108.26799774169922,100.6520004272461,103.8270034790039,103.8270034790039,9456320.0,ZEC-USD
2017-05-07,104.07599639892578,111.52999877929688,103.05699920654297,106.61799621582031,106.61799621582031,11574400.0,ZEC-USD
2017-05-08,105.83999633789062,106.72899627685547,93.80599975585938,96.08779907226562,96.08779907226562,12915800.0,ZEC-USD
2017-05-09,96.4551010131836,101.8949966430664,94.2426986694336,96.99210357666016,96.99210357666016,7670940.0,ZEC-USD
2017-05-10,96.93890380859375,98.9072036743164,94.90869903564453,95.12670135498047,95.12670135498047,7542780.0,ZEC-USD
2017-05-11,95.37159729003906,101.69000244140625,95.27159881591797,97.44290161132812,97.44290161132812,7739710.0,ZEC-USD
2017-05-12,97.38379669189453,98.2072982788086,94.01029968261719,96.57620239257812,96.57620239257812,4761440.0,ZEC-USD
2017-05-13,96.71219635009766,98.35320281982422,94.33899688720703,96.70339965820312,96.70339965820312,5258320.0,ZEC-USD
2017-05-14,96.7926025390625,97.81330108642578,93.1530990600586,93.56680297851562,93.56680297851562,6412220.0,ZEC-USD
2017-05-15,93.53399658203125,94.42759704589844,90.189697265625,90.60320281982422,90.60320281982422,5421060.0,ZEC-USD
2017-05-16,90.63780212402344,93.59829711914062,87.27130126953125,92.65840148925781,92.65840148925781,7980650.0,ZEC-USD
2017-05-17,92.71720123291016,95.07849884033203,88.9447021484375,94.92179870605469,94.92179870605469,6969390.0,ZEC-USD
2017-05-18,94.61489868164062,108.14600372314453,94.61489868164062,106.08300018310547,106.08300018310547,11538100.0,ZEC-USD
2017-05-19,105.86499786376953,110.79100036621094,105.74099731445312,108.22899627685547,108.22899627685547,7298390.0,ZEC-USD
2017-05-20,108.36299896240234,122.01599884033203,106.5510025024414,119.81500244140625,119.81500244140625,11511500.0,ZEC-USD
2017-05-21,120.4469985961914,278.572998046875,120.4469985961914,203.19000244140625,203.19000244140625,103976000.0,ZEC-USD
2017-05-22,203.7949981689453,299.4440002441406,195.51499938964844,239.48500061035156,239.48500061035156,87792200.0,ZEC-USD
2017-05-23,239.06399536132812,285.7850036621094,234.33599853515625,238.59800720214844,238.59800720214844,51125500.0,ZEC-USD
2017-05-24,236.9770050048828,269.7669982910156,205.5989990234375,224.45700073242188,224.45700073242188,45598300.0,ZEC-USD
2017-05-25,222.0240020751953,252.28399658203125,179.406005859375,197.8800048828125,197.8800048828125,30254100.0,ZEC-USD
2017-05-26,198.7220001220703,204.8070068359375,147.1929931640625,190.822998046875,190.822998046875,27968300.0,ZEC-USD
2017-05-27,191.3560028076172,211.97000122070312,182.6719970703125,196.3179931640625,196.3179931640625,17904800.0,ZEC-USD
2017-05-28,195.88400268554688,208.7010040283203,189.79299926757812,205.56900024414062,205.56900024414062,18855000.0,ZEC-USD
2017-05-29,206.0070037841797,246.781005859375,203.15199279785156,232.92599487304688,232.92599487304688,35817600.0,ZEC-USD
2017-05-30,233.49600219726562,254.38400268554688,228.3939971923828,235.6699981689453,235.6699981689453,30347500.0,ZEC-USD
2017-05-31,235.718994140625,261.54998779296875,234.4759979248047,249.27200317382812,249.27200317382812,23902700.0,ZEC-USD
2017-06-01,249.16000366210938,257.2909851074219,240.1510009765625,241.6820068359375,241.6820068359375,15822200.0,ZEC-USD
2017-06-02,241.5229949951172,243.9290008544922,228.48500061035156,230.0019989013672,230.0019989013672,18667600.0,ZEC-USD
2017-06-03,229.02200317382812,244.2729949951172,227.91799926757812,239.51600646972656,239.51600646972656,15806600.0,ZEC-USD
2017-06-04,238.8249969482422,281.4460144042969,238.42300415039062,253.031005859375,253.031005859375,43925100.0,ZEC-USD
2017-06-05,254.20399475097656,265.2510070800781,247.13499450683594,259.3550109863281,259.3550109863281,20436100.0,ZEC-USD
2017-06-06,259.4989929199219,312.64898681640625,258.05499267578125,262.7900085449219,262.7900085449219,50328900.0,ZEC-USD
2017-06-07,264.3580017089844,283.6210021972656,259.2090148925781,272.2380065917969,272.2380065917969,23372600.0,ZEC-USD
2017-06-08,271.552001953125,281.1300048828125,270.57598876953125,281.1300048828125,281.1300048828125,16799000.0,ZEC-USD
2017-06-09,281.3139953613281,334.4339904785156,281.3139953613281,328.6629943847656,328.6629943847656,38924900.0,ZEC-USD
2017-06-10,328.9630126953125,343.1830139160156,309.4809875488281,331.0989990234375,331.0989990234375,38020300.0,ZEC-USD
